symbol,security_id,company_name,nse_industry,is_defence,fno_lot_size
SBICARD,17971,SBI Cards and Payment Services Ltd.,Financial Services,false,800
SBILIFE,21808,SBI Life Insurance Company Ltd.,Financial Services,false,375
SBIN,3045,State Bank of India,Financial Services,false,750
SHREECEM,3103,Shree Cement Ltd.,Construction Materials,false,25
SHRIRAMFIN,4306,Shriram Finance Ltd.,Financial Services,false,825
SIEMENS,3150,Siemens Ltd.,Capital Goods,false,175
SOLARINDS,13332,Solar Industries India Ltd.,Chemicals,true,50
SONACOMS,4684,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,false,1225
SRF,3273,SRF Ltd.,Chemicals,false,200
SUNPHARMA,3351,Sun Pharmaceutical Industries Ltd.,Healthcare,false,350
SUPREMEIND,3363,Supreme Industries Ltd.,Capital Goods,false,175
SUZLON,12018,Suzlon Energy Ltd.,Capital Goods,false,12700
SWIGGY,27066,Swiggy Ltd.,Consumer Services,false,1825
TATACONSUM,3432,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,false,550
TATAELXSI,3411,Tata Elxsi Ltd.,Information Technology,false,125
TATAPOWER,3426,Tata Power Co. Ltd.,Power,false,1450
TATASTEEL,3499,Tata Steel Ltd.,Metals & Mining,false,2750
TCS,11536,Tata Consultancy Services Ltd.,Information Technology,false,225
TECHM,13538,Tech Mahindra Ltd.,Information Technology,false,600
TIINDIA,312,Tube Investments of India Ltd.,Automobile and Auto Components,false,200
TITAN,3506,Titan Company Ltd.,Consumer Durables,false,175
TMPV,3456,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,false,1600
TORNTPHARM,3518,Torrent Pharmaceuticals Ltd.,Healthcare,false,125
TRENT,1964,Trent Ltd.,Consumer Services,false,225
TVSMOTOR,8479,TVS Motor Company Ltd.,Automobile and Auto Components,false,175
ULTRACEMCO,11532,UltraTech Cement Ltd.,Construction Materials,false,50
UNIONBANK,10753,Union Bank of India,Financial Services,false,4425
UNITDSPR,10447,United Spirits Ltd.,Fast Moving Consumer Goods,false,400
UNOMINDA,14154,UNO Minda Ltd.,Automobile and Auto Components,false,550
UPL,11287,UPL Ltd.,Chemicals,false,1355
VBL,18921,Varun Beverages Ltd.,Fast Moving Consumer Goods,false,1275
VEDL,3063,Vedanta Ltd.,Metals & Mining,false,1150
VMM,27969,Vishal Mega Mart Ltd.,Consumer Services,false,4850
VOLTAS,3718,Voltas Ltd.,Consumer Durables,false,375
WAAREEENER,25907,Waaree Energies Ltd.,Capital Goods,false,175
WIPRO,3787,Wipro Ltd.,Information Technology,false,3000
YESBANK,11915,Yes Bank Ltd.,Financial Services,false,31100
ZYDUSLIFE,7929,Zydus Lifesciences Ltd.,Healthcare,false,900
